Dog,Happiness,Group
1,2,No Rubs
2,5,No Rubs
3,2,No Rubs
4,4,No Rubs
5,3,No Rubs
6,2,No Rubs
7,3,No Rubs
8,5,No Rubs
9,4,No Rubs
10,3,No Rubs
11,6,No Rubs
12,7,No Rubs
13,4,No Rubs
14,6,No Rubs
15,5,No Rubs
16,4,No Rubs
17,5,No Rubs
18,6,No Rubs
19,5,Belly Rubs
20,7,Belly Rubs
21,6,Belly Rubs
22,3,Belly Rubs
23,7,Belly Rubs
24,6,Belly Rubs
25,9,Belly Rubs
26,5,Belly Rubs
27,7,Belly Rubs
28,6,Belly Rubs
29,7,Belly Rubs
30,4,Belly Rubs
31,6,Belly Rubs
32,7,Belly Rubs
33,7,Belly Rubs
34,6,Belly Rubs
35,9,Belly Rubs
36,5,Belly Rubs
